Product,Category,Sales,Units Sold,Date
The Da Vinci Code,Books,103,103,04-01-24
Neutrogena Skincare Set,Beauty Products,699,701,05-01-24
Dune by Frank Herbert,Books,451,451,10-01-24
Chanel No. 5 Perfume,Beauty Products,203,205,11-01-24
"Salt, Fat, Acid, Heat by Samin Nosrat",Books,322,322,16-01-24
Dyson Supersonic Hair Dryer,Beauty Products,52,52,17-01-24
Gone Girl by Gillian Flynn,Books,986,986,22-01-24
Olay Regenerist Face Cream,Beauty Products,97,99,23-01-24
Pride and Prejudice by Jane Austen,Books,768,768,28-01-24
MAC Ruby Woo Lipstick,Beauty Products,240,245,29-01-24
1984 by George Orwell,Books,542,542,03-02-24
L'Oreal Revitalift Serum,Beauty Products,523,523,04-02-24
Harry Potter and the Sorcerer's Stone,Books,566,566,09-02-24
Estee Lauder Advanced Night Repair,Beauty Products,870,880,10-02-24
Becoming by Michelle Obama,Books,203,205,15-02-24
Clinique Moisture Surge,Beauty Products,654,654,16-02-24
The Silent Patient by Alex Michaelides,Books,2,2,21-02-24
Shiseido Ultimate Sun Protector,Beauty Products,400,452,22-02-24
Educated by Tara Westover,Books,341,341,27-02-24
Anastasia Beverly Hills Brow Wiz,Beauty Products,365,365,28-02-24
Where the Crawdads Sing by Delia Owens,Books,655,655,04-03-24
Lancome La Vie Est Belle,Beauty Products,254,254,05-03-24
The Great Gatsby by F. Scott Fitzgerald,Books,478,488,10-03-24
Drunk Elephant C-Firma Day Serum,Beauty Products,478,488,11-03-24
To Kill a Mockingbird by Harper Lee,Books,564,564,16-03-24
Glossier Boy Brow,Beauty Products,255,255,17-03-24
The Hobbit by J.R.R. Tolkien,Books,3,3,22-03-24
Charlotte Tilbury Magic Cream,Beauty Products,542,542,23-03-24
The Catcher in the Rye by J.D. Salinger,Books,444,444,28-03-24
Sunday Riley Good Genes,Beauty Products,334,334,29-03-24
